"ra","dec","magnitude","class","z","x","y"
"162.21991","28.293338","21.81467","GALAXY","0.8342874","-192.4845","-21.90307"
"162.8717","28.920501","21.81601","GALAXY","0.8555988","-67.07576","113.9038"
"164.23223","28.403688","21.82018","GALAXY","0.8441279","193.1521","2.120846"
"163.30466","27.924626","21.82059","GALAXY","1.017765","15.54376","-102.9126"
"164.3883","27.736794","21.82673","GALAXY","0.8394798","224.5624","-142.9174"
"164.70977","28.773564","21.82779","GALAXY","0.1069469","283.9049","83.69689"
"163.32972","27.107316","21.83162","GALAXY","0.7754319","20.54893","-281.1931"
"163.43414","28.571245","21.83181","GALAXY","0.9690068","40.17","37.79099"
"164.26976","28.88684","21.83483","GALAXY","0.8174223","199.4649","107.4202"
"162.77052","29.089052","21.83652","GALAXY","0.7350029","-86.24429","150.7136"
"161.94808","29.160611","21.83672","GALAXY","0.7283813","-242.8291","167.6225"
"162.25984","27.713503","21.8382","GALAXY","0.8302908","-185.8833","-148.2784"
"163.49207","29.234998","21.83853","QSO","5.444546","50.97497","182.4017"
"161.90554","29.25035","21.83903","GALAXY","0.7507835","-250.8131","187.3507"
"164.55607","27.768789","21.84091","GALAXY","0.9908165","256.93","-135.6628"
"163.04666","27.875288","21.84234","GALAXY","0.3225789","-34.07489","-113.6445"
"161.59289","28.28842","21.84317","GALAXY","0.8518856","-313.1635","-21.68707"
"161.98279","28.401131","21.84435","GALAXY","0.73108","-237.775","1.996397"
"162.14952","27.607856","21.84452","GALAXY","1.036453","-207.4177","-171.1616"
"162.91828","28.179565","21.84461","GALAXY","0.9213288","-58.57653","-47.35661"
"163.47301","28.080429","21.8461","GALAXY","0.9480035","47.82728","-68.95503"
"163.45327","28.913132","21.84734","GALAXY","1.050668","43.70974","112.2248"
"162.61394","28.493919","21.84764","GALAXY","0.9780314","-116.6336","21.25402"
"163.11231","27.915685","21.84969","GALAXY","1.011521","-21.43584","-104.8554"
"164.17239","28.789127","21.85208","GALAXY","1.108543","181.0356","85.96857"
"164.024","28.481873","21.8592","GALAXY","0.853258","153.1072","18.84306"
"164.24762","27.483097","21.86127","QSO","1.36729","197.9334","-198.4757"
